iter	Logloss
163	0.4260237809
164	0.4260014758
165	0.4259367942
166	0.425870675
167	0.4257895304
168	0.4257329624
169	0.4256779591
170	0.4255999159
171	0.4255797883
172	0.4255434934
173	0.4254970858
174	0.4254639826
175	0.4254029267
176	0.4253549313
177	0.4253163069
178	0.425239523
179	0.4251652413
180	0.4251067769
181	0.4250394614
182	0.4249807395
183	0.4249445097
184	0.4248665252
185	0.424806287
186	0.4247408277
187	0.4246857891
188	0.4246270894
189	0.4245778765
190	0.4245409593
191	0.424498431
192	0.4244442784
193	0.4243779199
194	0.4243275254
195	0.4242677774
196	0.4242358075
197	0.4241754716
198	0.4241204528
199	0.42405463
200	0.4240127317
201	0.4239635855
202	0.4239247021
203	0.4238920157
204	0.4238452038
205	0.4238100032
206	0.4237849049
207	0.423738736
208	0.4236956579
209	0.4236436272
210	0.4235910199
211	0.4235650887
212	0.4235019105
213	0.4234494356
214	0.4233886498
215	0.4233169533
216	0.423265801
217	0.423203959
218	0.4231885791
219	0.4231569434
220	0.4231210165
221	0.423116049
222	0.4230654793
223	0.4230145343
224	0.42297116
225	0.4229491571
226	0.4228963365
227	0.4228240001
228	0.4227895834
229	0.4227857572
230	0.4227556624
231	0.4227128107
232	0.4226741654
233	0.4225992069
234	0.4225459403
235	0.4225178665
236	0.4224601359
237	0.4224192846
238	0.4223632443
239	0.4223155538
240	0.4222471435
241	0.4221754361
242	0.4221353064
243	0.4220948326
244	0.4220437548
245	0.4220071583
246	0.421965012
247	0.4219097405
248	0.421857358
249	0.4218004575
250	0.4217529735
251	0.4217295092
252	0.4216699051
253	0.4216335656
254	0.4215906086
255	0.4215180562
256	0.4214611112
257	0.4214095731
258	0.4213775873
259	0.4213513027
260	0.4212728851
261	0.4212544156
262	0.4212207067
263	0.4211777333
264	0.4211159809
265	0.4210375843
266	0.4209895371
267	0.4209227112
268	0.4208693071
269	0.4208450388
270	0.4208104224
271	0.4207467063
272	0.4207021011
273	0.4206814603
274	0.4206274153
275	0.4205676379
276	0.4205376336
277	0.4205135216
278	0.4204824538
279	0.4204111459
280	0.4203623278
281	0.4203304184
282	0.4202989972
283	0.4202288148
284	0.4201892851
285	0.4201453235
286	0.4201435354
287	0.4200963874
288	0.4200495284
289	0.4200321822
290	0.4199937147
291	0.4199326916
292	0.4198768147
293	0.4198370718
294	0.4198092446
295	0.4197607144
296	0.4197080391
297	0.4196696428
298	0.4196218083
299	0.4195690321
300	0.41954168
301	0.4195197733
302	0.419483364
303	0.4194351106
304	0.4194090288
305	0.4193589075
306	0.4193073505
307	0.4192504024
308	0.4192193598
309	0.4191695847
310	0.4191310425
311	0.4190826456
312	0.4190341107
313	0.4189951494
314	0.4189293021
315	0.4188752623
316	0.4188405059
317	0.4188005491
318	0.4187762115
319	0.4186996054
320	0.418651046
321	0.418588288
322	0.4185535388
323	0.4185189738
324	0.418483978
325	0.4184570787
326	0.4184314638
327	0.4183994692
328	0.4183619138
329	0.4183212425
330	0.4182836045
331	0.4182344834
332	0.4182138305
333	0.418163685
334	0.4181206752
335	0.4180685745
336	0.4180402144
337	0.4180147052
338	0.4179869878
339	0.4179336647
340	0.4179071433
341	0.4178470569
342	0.4178038759
343	0.417750057
344	0.417718168
345	0.417655036
346	0.4176100984
347	0.4175470444
348	0.4174892862
349	0.4174491105
350	0.4174182193
351	0.417381717
352	0.4173694531
353	0.4173447707
354	0.4173097418
355	0.4172833772
356	0.4172429175
357	0.4171998196
358	0.4171747352
359	0.4171521875
360	0.4171220734
361	0.4170955607
362	0.4170612127
363	0.4170223935
364	0.4170029671
365	0.416951969
366	0.416923855
367	0.4168742386
368	0.4168706397
369	0.4168312357
370	0.4168065741
371	0.416755796
372	0.4167237561
373	0.4166961065
374	0.4166286388
375	0.4165767107
376	0.4165353038
377	0.4164962226
378	0.4164519117
379	0.4164290487
380	0.4163727955
381	0.4163459811
382	0.4162859357
383	0.4162561374
384	0.4161970283
385	0.416141874
386	0.416087135
387	0.4160474981
388	0.4160240416
389	0.4159871725
390	0.415953505
391	0.4159344991
392	0.4158962041
393	0.4158753417
394	0.4158360246
395	0.4158077882
396	0.4157632938
397	0.4157002846
398	0.4156438586
399	0.4155989938
400	0.4155671923
401	0.4155248209
402	0.415495277
403	0.4154497571
404	0.4154009416
405	0.4153582763
406	0.4153198611
407	0.4152901859
408	0.4152389139
409	0.415202603
410	0.4151530191
411	0.4151338129
412	0.415119617
413	0.4150586123
414	0.4150447189
415	0.4150005626
416	0.4149585448
417	0.414891823
418	0.4148561572
419	0.4148445083
420	0.4147901398
421	0.4147454077
422	0.4146775187
423	0.4146446569
424	0.4146011194
425	0.414554441
426	0.4145019747
427	0.4144425313
428	0.4143839259
429	0.4143559895
430	0.4143254504
431	0.4142885745
432	0.4142396991
433	0.4142209841
434	0.414196702
435	0.4141605526
436	0.4141054467
437	0.4140628884
438	0.4140210628
439	0.4140205082
440	0.4140003027
441	0.4139523254
442	0.4138844981
443	0.4138454301
444	0.4137993814
445	0.41378524
446	0.4137253645
447	0.4136700168
448	0.413657093
449	0.4136384759
450	0.413608649
451	0.4135691164
452	0.4135060194
453	0.4134922619
454	0.4134531545
455	0.4134416926
456	0.4134075437
457	0.4133954235
458	0.4133618847
459	0.413337848
460	0.4133067361
461	0.413247535
462	0.4132470691
463	0.4132013827
464	0.4131653088
465	0.4131076925
466	0.4130678156
467	0.4130425496
468	0.413008462
469	0.4129839085
470	0.4129392047
471	0.4129153656
472	0.4128859286
473	0.4128308583
474	0.4128127203
475	0.4127924698
476	0.4127727927
477	0.4127331677
478	0.4126877606
479	0.4126543879
480	0.4126431204
481	0.4126256081
482	0.4125871726
483	0.4125375824
484	0.4125056367
485	0.412449718
486	0.4124004856
487	0.4123630809
488	0.4123556871
489	0.4123157825
490	0.4123004118
491	0.4122818597
492	0.4122272938
493	0.4122050478
494	0.4121742623
495	0.4121189675
496	0.4120587221
497	0.4120229268
498	0.4119867004
499	0.4119317378
500	0.4118869815
501	0.4118492789
502	0.4117854047
503	0.4117317604
504	0.411693125
505	0.4116526916
506	0.4116205808
507	0.411599255
508	0.4115872923
509	0.4115531497
510	0.4115302799
511	0.411506527
512	0.4115008199
513	0.4114586348
514	0.4114224685
515	0.4113729809
516	0.411322579
517	0.4113205384
518	0.4112924056
519	0.411235769
520	0.4112006587
521	0.4111658554
522	0.4111295161
523	0.4110846907
524	0.4110364257
525	0.4110024287
526	0.4109638319
527	0.4109218538
528	0.4108879568
529	0.4108451708
530	0.4108349871
531	0.4108064195
532	0.4107533929
533	0.4107212687
534	0.4106744144
535	0.4106376674
536	0.4106195595
537	0.4105828278
538	0.4105466093
539	0.4104970236
540	0.4104628581
541	0.4104121371
542	0.4103644217
543	0.4103025843
544	0.4102729885
545	0.4102508279
546	0.4102171571
547	0.4101938837
548	0.4101571991
549	0.4101244389
550	0.4100940329
551	0.410055733
552	0.410009911
553	0.4099927916
554	0.4099631694
555	0.409939313
556	0.4099214088
557	0.4098783942
558	0.4098343883
559	0.4098128556
560	0.4097740393
561	0.4097523927
562	0.4097076619
563	0.4097064566
564	0.4096746167
565	0.4096542598
566	0.4096302503
567	0.4095992061
568	0.4095197978
569	0.4095159323
570	0.4094851015
571	0.4094541115
572	0.4094157641
573	0.409366114
574	0.4093393601
575	0.4092949513
576	0.4092738775
577	0.4092547446
578	0.4092184518
579	0.4091479801
580	0.4090857323
581	0.409054815
582	0.4090249045
583	0.4090067537
584	0.4089977215
585	0.4089626643
586	0.4089278952
587	0.4088926187
588	0.4088708778
589	0.4088233813
590	0.4087910436
591	0.408762875
592	0.408721917
593	0.4087012826
594	0.4086672699
595	0.4086094286
596	0.408573732
597	0.4085186672
598	0.408500686
599	0.4084816379
600	0.4084316644
601	0.4083803763
602	0.4083326264
603	0.4083136204
604	0.4082752629
605	0.4082377949
606	0.4082159912
607	0.4081671543
608	0.4081270574
609	0.4080929497
610	0.4080534079
611	0.407999082
612	0.4079832531
613	0.4079395528
614	0.4079049843
615	0.4078550088
616	0.4078352635
617	0.4078236264
618	0.4077987739
619	0.4077852984
620	0.4077486923
621	0.4077275422
622	0.4076928735
623	0.4076494106
624	0.4076181731
625	0.4076071475
626	0.4075699165
627	0.4075529478
628	0.4075167067
629	0.4074823836
630	0.4074576739
631	0.4074115524
632	0.4073813104
633	0.4073553657
634	0.407326065
635	0.4072878197
636	0.4072715958
637	0.4072195299
638	0.4071739838
639	0.4071304085
640	0.4070900234
641	0.4070537825
642	0.4070273152
643	0.4069809719
644	0.4069596421
645	0.4069431165
646	0.4069035125
647	0.4068606573
648	0.4068209569
649	0.4067806613
650	0.406768291
651	0.4067163191
652	0.4066913549
653	0.4066593921
654	0.4066512664
655	0.4066251813
656	0.4065810531
657	0.4065501533
658	0.4065280392
659	0.4065080057
660	0.4064557231
661	0.406401166
662	0.40638021
663	0.4063539902
664	0.4063376707
665	0.4062775125
666	0.4062352235
667	0.4061979557
668	0.4061635466
669	0.4061381202
670	0.4061047802
671	0.406069618
672	0.4060549421
673	0.4060154276
674	0.4059717131
675	0.4059303715
676	0.4058909816
677	0.4058803688
678	0.4058484606
679	0.4058054172
680	0.4057736103
681	0.405745758
682	0.4057353414
683	0.4057192861
684	0.4056958694
685	0.4056757067
686	0.4056453324
687	0.4056268354
688	0.4055931708
689	0.4055539594
690	0.405539694
691	0.4055173793
692	0.405464257
693	0.4054373689
694	0.4054010421
695	0.4053679722
696	0.4053325738
697	0.4052865985
698	0.4052721969
699	0.4052120014
700	0.4051721955
701	0.4051314395
702	0.4050901096
703	0.4050360124
704	0.4050209126
705	0.4049840017
706	0.404953946
707	0.4049424894
708	0.4049104206
709	0.4048819039
710	0.4048498603
711	0.4048153448
712	0.4047730849
713	0.4047532009
714	0.4047084839
715	0.4046716239
716	0.4046539468
717	0.4046244108
718	0.4045855193
719	0.4045391893
720	0.4044976556
721	0.4044491524
722	0.4043996148
723	0.4043748983
724	0.4043405893
725	0.404298428
726	0.404262368
727	0.4042397818
728	0.4042116687
729	0.4041850847
730	0.4041808595
731	0.4041499483
732	0.4040938243
733	0.404057953
734	0.4040288078
735	0.4039918632
736	0.4039555855
737	0.4039225407
738	0.4038840967
739	0.4038696062
740	0.4038271719
741	0.4038095479
742	0.4037601886
743	0.4037209964
744	0.4036824828
745	0.4036617127
746	0.4036440175
747	0.4036110647
748	0.4035955188
749	0.4035535553
750	0.4035129199
751	0.4034868703
752	0.4034543548
753	0.4034469557
754	0.4034221523
755	0.4034014044
756	0.4033660606
757	0.4033528918
758	0.4033245186
759	0.403297321
760	0.4032691855
761	0.4032569311
762	0.4032263838
763	0.4031969779
764	0.4031705856
765	0.4031184018
766	0.4030981164
767	0.4030529056
768	0.4030071192
769	0.4029823458
770	0.4029655916
771	0.4029164339
772	0.4028877968
773	0.4028512274
774	0.4028197087
775	0.4027541615
776	0.4027253584
777	0.4027097746
778	0.4026975972
779	0.402647624
780	0.4025988773
781	0.4025832807
782	0.40255906
783	0.4025247734
784	0.4025094972
785	0.4024795746
786	0.4024237151
787	0.4023774029
788	0.4023393014
789	0.402311161
790	0.402265269
791	0.4022092579
792	0.4021888067
793	0.4021509688
794	0.402134005
795	0.4020972331
796	0.4020647588
797	0.4020361558
798	0.4019908156
799	0.401953256
800	0.4019243018
801	0.4018952724
802	0.4018750675
803	0.401856662
804	0.4018208195
805	0.4017762349
806	0.4017548628
807	0.401723503
808	0.4016972706
809	0.4016626724
810	0.4016417249
811	0.4016003822
812	0.4015871046
813	0.4015547432
814	0.4015416549
815	0.4015187199
816	0.4014980999
817	0.4014752751
818	0.401430927
819	0.4013948928
820	0.4013940868
821	0.4013620591
822	0.4013220065
823	0.4012787277
824	0.4012283823
825	0.4011885656
826	0.4011507724
827	0.4011385558
828	0.401127295
829	0.4010856798
830	0.4010585269
831	0.401039693
832	0.4010032801
833	0.4009804623
834	0.4009374464
835	0.4009121217
836	0.4008780905
837	0.4008286436
838	0.4007969554
839	0.4007670078
840	0.40072743
841	0.4006868413
842	0.4006537799
843	0.4006199716
844	0.4006080929
845	0.4005656085
846	0.4005315274
847	0.4005138047
848	0.4004906704
849	0.4004535235
850	0.4004351979
851	0.4004011751
852	0.4003932156
853	0.4003851942
854	0.4003660355
855	0.4003334149
856	0.4003034379
857	0.4002954944
858	0.4002878014
859	0.4002678725
860	0.400229482
861	0.4002073935
862	0.4001731172
863	0.4001531307
864	0.4001446165
865	0.4001285261
866	0.4000964732
867	0.4000792045
868	0.4000509811
869	0.4000002267
870	0.3999837916
871	0.3999512637
872	0.3999383879
873	0.3999182453
874	0.3998940575
875	0.3998521018
876	0.3998253867
877	0.3998174633
878	0.3997787197
879	0.3997549429
880	0.3997397694
881	0.3997151843
882	0.399691424
883	0.3996845489
884	0.3996574217
885	0.3996359793
886	0.3996074521
887	0.3996011685
888	0.3995923581
889	0.3995592203
890	0.3995184113
891	0.3994858546
892	0.3994428889
893	0.3994130872
894	0.399386649
895	0.3993405848
896	0.3993043101
897	0.3992823825
898	0.3992623565
899	0.3992357417
900	0.3991935374
901	0.399158019
902	0.3991255329
903	0.3990968066
904	0.3990826165
905	0.3990397812
906	0.3990292168
907	0.3990025491
908	0.3989742536
909	0.3989484995
910	0.3989387377
911	0.3989020592
912	0.3988642031
913	0.3988200109
914	0.3987943026
915	0.3987405522
916	0.3987250348
917	0.3986988823
918	0.3986558457
919	0.3986060563
920	0.3985829728
921	0.398553767
922	0.3985270346
923	0.398486116
924	0.3984637353
925	0.3984256158
926	0.3983983709
927	0.3983516963
928	0.3983089045
929	0.3982692757
930	0.3982250893
931	0.3982011399
932	0.3981667704
933	0.3981353402
934	0.3981179546
935	0.3980766844
936	0.3980473025
937	0.397989136
938	0.3979701403
939	0.3979478497
940	0.3979118497
941	0.3978715176
942	0.397860956
943	0.3978222662
944	0.3978086949
945	0.397769289
946	0.397744772
947	0.3977116893
948	0.3976872823
949	0.39766651
950	0.3976373973
951	0.3976126676
952	0.3975923984
953	0.3975421165
954	0.3975193103
955	0.3974828681
956	0.3974547358
957	0.3974301434
958	0.3973804232
959	0.3973424365
960	0.3973086801
961	0.3972646004
962	0.3972520125
963	0.3972270498
964	0.3972210414
965	0.3972056373
966	0.3971828894
967	0.3971347545
968	0.3971171557
969	0.3971020846
970	0.3970748542
971	0.397027562
972	0.3969964003
973	0.3969856558
974	0.3969742961
975	0.3969560896
976	0.3969306716
977	0.3969176992
978	0.3969045358
979	0.3968662813
980	0.3968535508
981	0.3968249947
982	0.3968114767
983	0.3967876888
984	0.3967463896
985	0.3967320894
986	0.3966901633
987	0.3966660946
988	0.3966165912
989	0.3965940277
990	0.3965625392
991	0.3965284483
992	0.3965126261
993	0.3964923856
994	0.396449313
995	0.3964103404
996	0.3963697142
997	0.3963484472
998	0.3963269036
999	0.3963132851
